epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,85.1978,0.53287,0.58448,0.84372,0.99531,0.92671,0.92849,0.85015,0.47959,0.42526,0.81131,0.000220995,0.000220995,0.000220995
43,87.2138,0.55284,0.575,0.83911,0.99545,0.92439,0.92867,0.83471,0.51899,0.44472,0.82153,0.000213556,0.000213556,0.000213556
44,89.2526,0.56049,0.56812,0.83809,0.99396,0.92606,0.9293,0.83371,0.51889,0.4221,0.82293,0.000206117,0.000206117,0.000206117
45,91.2815,0.51719,0.56226,0.82578,0.99489,0.92612,0.92968,0.85448,0.48415,0.41055,0.81625,0.000198678,0.000198678,0.000198678
46,93.2923,0.55876,0.59141,0.83936,0.99533,0.92614,0.92988,0.84209,0.51778,0.42475,0.82204,0.000191239,0.000191239,0.000191239
47,95.3102,0.56055,0.57418,0.83085,0.99644,0.92636,0.93071,0.83432,0.52681,0.42907,0.82266,0.000183799,0.000183799,0.000183799
48,97.3281,0.5518,0.57249,0.83294,0.99784,0.92684,0.9291,0.84542,0.49457,0.41777,0.82011,0.00017636,0.00017636,0.00017636
49,99.347,0.53883,0.58464,0.82883,0.99733,0.92684,0.92819,0.82904,0.5187,0.43733,0.81995,0.000168921,0.000168921,0.000168921
50,101.363,0.53837,0.56835,0.84046,0.99607,0.92684,0.92818,0.83172,0.51792,0.44169,0.8219,0.000161482,0.000161482,0.000161482
51,103.37,0.51838,0.56686,0.83069,0.99634,0.92684,0.92815,0.84732,0.49805,0.44419,0.8196,0.000154043,0.000154043,0.000154043
52,105.395,0.56975,0.58919,0.84395,0.99622,0.92684,0.9279,0.83575,0.52421,0.46713,0.82395,0.000146604,0.000146604,0.000146604
53,107.41,0.53538,0.56165,0.84308,0.9963,0.92684,0.92815,0.84115,0.51336,0.46264,0.82247,0.000139165,0.000139165,0.000139165
54,109.435,0.52353,0.55243,0.83376,0.99736,0.92684,0.92827,0.83436,0.50965,0.43988,0.81994,0.000131725,0.000131725,0.000131725
55,111.453,0.54226,0.56897,0.82686,0.99722,0.92684,0.92836,0.83383,0.52287,0.43045,0.82112,0.000124286,0.000124286,0.000124286
56,113.481,0.53031,0.54694,0.83971,0.99773,0.92684,0.92889,0.85236,0.48557,0.41823,0.81296,0.000116847,0.000116847,0.000116847
57,115.505,0.5089,0.52698,0.82764,0.99773,0.92684,0.92925,0.85151,0.48327,0.41079,0.81173,0.000109408,0.000109408,0.000109408
58,117.525,0.50964,0.54908,0.83074,0.99708,0.92684,0.9299,0.85391,0.48065,0.41063,0.80798,0.000101969,0.000101969,0.000101969
59,119.549,0.51907,0.53814,0.83114,0.99614,0.92684,0.93021,0.85584,0.4694,0.4024,0.80601,9.45297e-05,9.45297e-05,9.45297e-05
60,121.561,0.50546,0.56308,0.84119,0.99632,0.92684,0.93013,0.85602,0.47487,0.3952,0.80894,8.70906e-05,8.70906e-05,8.70906e-05
61,124.146,0.52009,0.58567,0.82985,0.99745,0.92684,0.93028,0.8573,0.48184,0.40303,0.80932,7.96514e-05,7.96514e-05,7.96514e-05
62,126.211,0.46289,0.56937,0.8305,0.99693,0.92625,0.93005,0.85799,0.47258,0.40568,0.80972,7.22123e-05,7.22123e-05,7.22123e-05
63,128.232,0.45029,0.55091,0.80791,0.99621,0.92605,0.9297,0.85696,0.47252,0.40806,0.81022,6.47731e-05,6.47731e-05,6.47731e-05
64,130.25,0.4623,0.57213,0.83244,0.99579,0.92609,0.92941,0.85323,0.46897,0.40018,0.80979,5.7334e-05,5.7334e-05,5.7334e-05
65,132.252,0.44847,0.54815,0.82469,0.99607,0.92617,0.92929,0.85929,0.47249,0.40122,0.80884,4.98949e-05,4.98949e-05,4.98949e-05
66,134.29,0.46233,0.56967,0.82713,0.99638,0.92633,0.92908,0.85585,0.47891,0.40197,0.80913,4.24557e-05,4.24557e-05,4.24557e-05
67,136.304,0.42727,0.55112,0.81565,0.99655,0.92635,0.9291,0.85919,0.47347,0.4055,0.80924,3.50166e-05,3.50166e-05,3.50166e-05
68,138.321,0.42364,0.53611,0.80141,0.99669,0.9264,0.92899,0.85802,0.47683,0.4024,0.80844,2.75774e-05,2.75774e-05,2.75774e-05
69,140.325,0.43875,0.53562,0.81962,0.99679,0.92639,0.92905,0.85733,0.47764,0.40328,0.80902,2.01383e-05,2.01383e-05,2.01383e-05
70,142.348,0.44856,0.55833,0.81805,0.99686,0.92654,0.92893,0.85461,0.48288,0.40689,0.80962,1.26991e-05,1.26991e-05,1.26991e-05
